Dataset,Crossover Rate,Crossover,Mutation,Population Size,Generations,Mutation Rate,Best Distance,Execution Time (s)
berlin52.txt,1.0,ordered_crossover,scramble_mutation,100,154,0.01,12752.07,0.71
berlin52.txt,0.1,ordered_crossover,scramble_mutation,100,126,0.1,20908.09,0.3
berlin52.txt,0.5,ordered_crossover,scramble_mutation,100,456,0.1,14492.09,1.6
berlin52.txt,1.0,ordered_crossover,scramble_mutation,100,424,0.1,14156.78,1.98
berlin52.txt,0.1,ordered_crossover,scramble_mutation,100,1847,0.01,15845.24,4.0
berlin52.txt,0.5,ordered_crossover,scramble_mutation,100,840,0.01,15297.87,2.74
berlin52.txt,1.0,ordered_crossover,scramble_mutation,100,445,0.01,14683.21,2.02
berlin52.txt,0.1,ordered_crossover,scramble_mutation,100,281,0.1,21180.03,0.64
berlin52.txt,0.5,ordered_crossover,scramble_mutation,100,652,0.1,13557.9,2.13
berlin52.txt,1.0,ordered_crossover,scramble_mutation,100,780,0.1,13592.6,3.87
berlin52.txt,0.1,ordered_crossover,scramble_mutation,200,37,0.01,19501.67,0.18
berlin52.txt,0.5,ordered_crossover,scramble_mutation,200,65,0.01,15576.27,0.51
berlin52.txt,1.0,ordered_crossover,scramble_mutation,200,89,0.01,11391.41,0.92
berlin52.txt,0.1,ordered_crossover,scramble_mutation,200,29,0.1,21730.92,0.15
berlin52.txt,0.5,ordered_crossover,scramble_mutation,200,88,0.1,15024.44,0.61
berlin52.txt,1.0,ordered_crossover,scramble_mutation,200,99,0.1,10746.8,0.96
berlin52.txt,0.1,ordered_crossover,scramble_mutation,200,266,0.01,18204.28,1.19
berlin52.txt,0.5,ordered_crossover,scramble_mutation,200,93,0.01,15677.54,0.71
berlin52.txt,1.0,ordered_crossover,scramble_mutation,200,146,0.01,10180.3,1.54
berlin52.txt,0.1,ordered_crossover,scramble_mutation,200,178,0.1,17563.7,0.81
berlin52.txt,0.5,ordered_crossover,scramble_mutation,200,241,0.1,11735.01,1.69
berlin52.txt,1.0,ordered_crossover,scramble_mutation,200,188,0.1,11230.6,1.92
berlin52.txt,0.1,ordered_crossover,scramble_mutation,200,691,0.01,16520.15,3.25
berlin52.txt,0.5,ordered_crossover,scramble_mutation,200,267,0.01,12675.77,1.94
berlin52.txt,1.0,ordered_crossover,scramble_mutation,200,195,0.01,10703.25,2.06
berlin52.txt,0.1,ordered_crossover,scramble_mutation,200,161,0.1,17740.66,0.77
berlin52.txt,0.5,ordered_crossover,scramble_mutation,200,378,0.1,10698.74,2.62
berlin52.txt,1.0,ordered_crossover,scramble_mutation,200,389,0.1,10246.37,3.72
berlin52.txt,0.1,ordered_crossover,scramble_mutation,200,1287,0.01,15647.41,7.4
berlin52.txt,0.5,ordered_crossover,scramble_mutation,200,702,0.01,10794.01,9.25
berlin52.txt,1.0,ordered_crossover,scramble_mutation,200,686,0.01,11064.43,7.47
berlin52.txt,0.1,ordered_crossover,scramble_mutation,200,861,0.1,15939.98,4.25
berlin52.txt,0.5,ordered_crossover,scramble_mutation,200,601,0.1,12672.33,4.63
berlin52.txt,1.0,ordered_crossover,scramble_mutation,200,601,0.1,10355.02,6.21
berlin52.txt,0.1,ordered_crossover,scramble_mutation,500,86,0.01,15559.48,1.02
berlin52.txt,0.5,ordered_crossover,scramble_mutation,500,93,0.01,11787.91,1.69
berlin52.txt,1.0,ordered_crossover,scramble_mutation,500,85,0.01,13282.07,2.28
berlin52.txt,0.1,ordered_crossover,scramble_mutation,500,25,0.1,21743.41,0.36
berlin52.txt,0.5,ordered_crossover,scramble_mutation,500,99,0.1,11078.12,4.21
berlin52.txt,1.0,ordered_crossover,scramble_mutation,500,99,0.1,10511.58,2.98
berlin52.txt,0.1,ordered_crossover,scramble_mutation,500,210,0.01,14734.67,2.57
