Dataset,Crossover Rate,Crossover,Mutation,Population Size,Generations,Mutation Rate,Tournament Size,Best Distance,Execution Time (s)
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,506,0.1,3,15557.6,2.3
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,769,0.1,5,13521.73,3.57
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,476,0.1,8,15030.01,2.35
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,608,0.1,10,13988.86,3.12
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1247,0.1,2,9444.2,8.03
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,948,0.1,3,9021.11,6.25
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,577,0.1,5,9547.34,3.99
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,585,0.1,8,10032.26,4.28
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1269,0.1,10,10065.1,9.04
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,887,0.1,2,9758.61,8.18
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,628,0.1,3,9022.85,5.8
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,582,0.1,5,9160.31,5.51
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,431,0.1,8,10194.98,9.89
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,547,0.1,10,9599.75,8.34
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,4023,0.01,2,9682.59,18.04
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,3036,0.01,3,9674.87,13.67
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,3245,0.01,5,9980.85,15.16
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,4338,0.01,8,9330.25,21.53
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,3692,0.01,10,10051.04,19.11
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1509,0.01,2,9308.57,10.06
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1422,0.01,3,9613.4,9.61
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,2684,0.01,5,10257.71,18.73
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,2081,0.01,8,11003.92,14.87
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,2814,0.01,10,9792.6,20.74
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1958,0.01,2,10141.59,17.98
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,2424,0.01,3,9071.96,22.44
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,2414,0.01,5,10537.45,22.95
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,2337,0.01,8,9036.51,22.66
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1624,0.01,10,10010.8,15.9
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1261,0.05,2,12328.93,5.6
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,2426,0.05,3,10556.62,10.86
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,3848,0.05,5,10413.71,18.17
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1622,0.05,8,9201.12,8.19
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,2847,0.05,10,10399.55,15.07
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1792,0.05,2,10414.38,11.93
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1051,0.05,3,9112.64,6.99
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1368,0.05,5,10671.57,9.39
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1536,0.05,8,9233.25,10.94
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1629,0.05,10,10649.98,11.94
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1519,0.05,2,9277.88,13.94
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1059,0.05,3,9445.58,9.8
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1149,0.05,5,9351.63,10.81
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1241,0.05,8,9129.56,12.17
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1814,0.05,10,9756.45,18.22
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,793,0.1,2,16584.58,3.84
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,728,0.1,3,16492.82,3.43
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1071,0.1,5,14805.38,5.44
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1486,0.1,8,14315.06,7.56
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1513,0.1,10,13803.25,8.07
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1642,0.1,2,10013.31,10.89
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1750,0.1,3,9370.62,11.89
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1227,0.1,5,10153.96,8.66
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1754,0.1,8,9132.12,12.87
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,2093,0.1,10,9442.29,16.15
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,2319,0.1,2,9750.68,21.73
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,788,0.1,3,9435.22,7.28
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1000,0.1,5,9057.1,9.45
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,676,0.1,8,9213.41,6.59
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1015,0.1,10,9547.95,10.19
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,763,0.01,2,10292.35,8.48
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,761,0.01,3,10512.44,8.48
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,690,0.01,5,11041.46,8.1
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,692,0.01,8,10877.37,8.65
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,999,0.01,10,10006.66,12.84
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,424,0.01,2,8825.98,6.92
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,585,0.01,3,9020.72,9.82
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,338,0.01,5,10528.64,5.81
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,392,0.01,8,9941.8,7.18
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,437,0.01,10,10109.14,7.96
berlin52.txt,1.0,ordered_crossover,swap_mutation,500,445,0.01,2,9151.37,10.08
berlin52.txt,1.0,ordered_crossover,swap_mutation,500,215,0.01,3,8982.93,4.97
berlin52.txt,1.0,ordered_crossover,swap_mutation,500,580,0.01,5,8635.67,13.54
berlin52.txt,1.0,ordered_crossover,swap_mutation,500,562,0.01,8,9765.32,13.6
berlin52.txt,1.0,ordered_crossover,swap_mutation,500,429,0.01,10,10070.81,10.68
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,938,0.05,2,10215.2,10.37
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,302,0.05,3,12777.42,3.36
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,349,0.05,5,11738.42,4.06
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,981,0.05,8,9434.1,12.09
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,908,0.05,10,9827.75,11.66
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,584,0.05,2,9490.37,9.53
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,415,0.05,3,8960.13,6.82
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,465,0.05,5,9805.91,7.96
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,631,0.05,8,8725.8,11.38
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,272,0.05,10,10910.16,4.96
berlin52.txt,1.0,ordered_crossover,swap_mutation,500,619,0.05,2,8615.0,14.09
berlin52.txt,1.0,ordered_crossover,swap_mutation,500,408,0.05,3,8998.16,9.36
